source_id,state,district_or_town,platform,target_type,source_name,source_url,discovery_query,language_focus,crawl_scope,comment_limit,frequency,priority,verification_status,verified_on,notes
FB0077,Johor,Tangkak,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Tangkak"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0078,Johor,Tangkak,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Tangkak"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0079,Johor,Tangkak,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Tangkak"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0080,Johor,Tangkak,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Tangkak"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0081,Johor,Segamat,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Segamat"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0082,Johor,Segamat,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Segamat"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0083,Johor,Segamat,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Segamat"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0084,Johor,Segamat,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Segamat"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0085,Johor,Pontian,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Pontian"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0086,Johor,Pontian,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Pontian"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0087,Johor,Pontian,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Pontian"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0088,Johor,Pontian,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Pontian"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0089,Johor,Kota Tinggi,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Kota Tinggi"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0090,Johor,Kota Tinggi,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Kota Tinggi"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0091,Johor,Kota Tinggi,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Kota Tinggi"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0092,Johor,Kota Tinggi,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Kota Tinggi"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0093,Johor,Mersing,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Mersing"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0094,Johor,Mersing,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Mersing"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0095,Johor,Mersing,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Mersing"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0096,Johor,Mersing,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Mersing"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
