post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level,state,crawl_community,query_id,jenis_suara,weight_analisis,crawl_pipeline,engagement_rate
JHR-943d5b4f4d5be1f0,news,post,Media,Political Party,https://news.google.com/rss/articles/CBMitgFBVV95cUxNTU5LODFtZF9Oa3lqUnJFTWFwY0N6TVNDTjhGN2JnUnIxbFZTZ25XTTlIb1NZdGwtdnlsVnN2VUhneEM4M3RabC14bVhTbDJPUlVTM2dzWmdLYTBNQ3FkODBsR0d3akwxcXFzNGVVNHF2cmZRc25tOG1aMVV4N0dPdGczZGJpMjV4aHVKdzh2aHB5Wmk0T2lpMjNwdXNheUV0MU1Xd3FLdGlMRmtfa0FlblVWRWc3UQ?oc=5,2026-07-11 10:41:08,Johor polls: BN leads in nine of 17 seats contested by DAP as voter turnout reaches 63.13%. Johor polls: BN leads in nine of 17 seats contested by DAP as voter turnout reaches 63.13%&nbsp;&nbsp;Newswav,,en,Johor Bahru,JHR-N48,Johor Bahru,,,DAP Performance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B1,party_official,Tinggi,,0.0
JHR-e1af8baee63b95c8,news,post,Media,Political Party,https://news.google.com/rss/articles/CBMimwFBVV95cUxQSlB1VDlVUGVkVDlpS3JuemdDSUJaOUtrT0dHb2VITGdXSXJsWHNhNHJoNGJ5YklyLXdqcHgwQUlpYW9zTGNHaU4zanFIZTlsUnFBbFo0Zzd0cXprQUhCbjlsMmZzWVFtRzctcXQycHR0X2wxbV93SDhBU2U1WHZGMy1lX1ZRZzRBcmV5OTFxVlVBc25OREpGVThHRQ?oc=5,2026-07-11 11:59:56,Unofficial: PH secures Bentayan while MCA takes Tangkak. Unofficial: PH secures Bentayan while MCA takes Tangkak&nbsp;&nbsp;Newswav,,ms,Tangkak,JHR-N04,Tangkak,,,MCA Relevance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B1,party_official,Tinggi,,0.0
JHR-395aac285655d512,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMitwFBVV95cUxNeHNxY3dIVkdxRHc2bWtUUTE4SFc3RDY5Z3FxeGlpOE5UWmVsSUxOR2VVYmJzVG1mX3lsbGFkX2ZmZWNMZ2ZyNXkzd2tMUm9faUJ5aHQwVUNCX1FRcHBhUUJlMGtFTUFWNDMwRGl6ZnBLc0tyNlVaa1dtWHZSX3NIUVNHVGVPX2hFM1BXMGNIcjcyNkllNV9oM2pqVXNBU0VRcF9FZlZDbGJTMkxSbHBpWERnQ0M3VEk?oc=5,2026-07-11 11:17:00,PRN Johor: (Unofficial) PH races ahead in closely watched Skudai as unofficial results come in. PRN Johor: (Unofficial) PH races ahead in closely watched Skudai as unofficial results come in&nbsp;&nbsp;The Vibes,,en,Skudai,JHR-N49,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,True,False,False,High,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-59e2b576ef9c3afd,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMirwFBVV95cUxOSjRLaDE1OHBzV2xFX2dCcU9jQ3hoX0duWXhUdFYyT29WWTVsdW5uSWZlZXUxQXFDSmpQNkRIbFE2enVyNExmeU9yN0xDMDVhX3d5Nk9HZUJHMlhDbjZBTWFmbkpXTXZEeTUyVHdPbUtEb2I1Y3lhbDF0OXkxMDV0R0lIeWpBRUkyNXlwRjFVS0VFT2xjRkhreDJUVV9pVndGcmVDZE5SdWpkOTd1OWpv0gG0AUFVX3lxTE11aWZxQ2xuZ3oxTnh0OVp2TTdVcndOZkJ6MVZsOGVLTDM5YVV1WHdOeTJnZzl5UHMxeDFSLXRNaF90RElxWk0wUmlLaW80cE45bVRGVlFkZEpnd3FndHJnUVNFdE9LR01ac2hnM29HdV9fVjA3LUhHMG1sS2J1MzlURUNqZTJCaEktcllPVWFUWllXMUJIRVA0bzJySm53aVVlYXdPZWNuMGpDTmFyWnI4QXp3Sw?oc=5,2026-07-07 06:01:51,Johor polls: Early voting turnout passes 56pc by 11am. Johor polls: Early voting turnout passes 56pc by 11am&nbsp;&nbsp;Malay Mail,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,PAS Factor,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-985cc553790198e5,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5vZVVTVG11eVNOQ203NXRBU0R5WTRaVkNDR1RhTlRiM01aYU94Q000QUV6MGFwa0pmVHc0X0pvTDY4NFlWeWRSUThVaG96NFN4?oc=5,2026-06-26 07:00:00,Bersama announces 15 candidates for 16th Johor state election. Bersama announces 15 candidates for 16th Johor state election&nbsp;&nbsp;The Edge Malaysia,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Candidate Performance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-ccfd7447ea65aea2,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMioAFBVV95cUxNMHpFUFZsQndQR0RKZktXeEpVUERxb2twRjVHU3JsM2FseG5OU1Z6cFNOQUJpZ2tsUkNxUE9wZDJXOE5vNEFVMW1OdE1uS1pYNGk5RThvY3N5WGxadjlRemVlNTdBZ0lhYTlzUjlMc2tNS2NLcWhiX3hhV0s4Qm1XYzh6T04tVkJ6cUhCVVBvaWZ2VWpyZ0U1NFBuZi00Z3hB0gG_AUFVX3lxTFBtRkJJaE00Z3UyUmdmZTZGeTZncnk5WHNHY3VoTkhlaUhlWEp2a1QyLVBIVDRYa1RKUnhwNUVjVTU2WExlczNFOTNvQldUVXBQN19JR2hUZnVTaFFKV25ZT1cyZ1NiRHAtSTBGUXJJa0ZDVC1vNEdsVXk0cHI2Uk5aSlBmM2l1WnZXTFYxc2l1S3ZFR3FNb0RGRDRuY3pUdlJhSVhaUmNVWHBmaVFuQ1c4el9BWklLdVBCSl92MXNJ?oc=5,2026-07-11 09:40:47,[LIVE] Johor election results: Subdued mood at PH command centre after BN declares victory. [LIVE] Johor election results: Subdued mood at PH command centre after BN declares victory&nbsp;&nbsp;NST Online,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-68d76da19d900e15,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPNHNUdGJSYnpfaFd0WFJiNnBmbmZoWTBkLWRVQmNZdWcwYWxuRXBYbUlJWHVVaDhEblRiQ2xxUE1RUXZiMERUWk55ei02bzRfakdRY0M2WmZmNXFWOVBLRTdWSlJpWjV3ODRXenVfV29BbzJwVkRNdFJNWTROejdZQ2dpR1pJY2xleFg4RmxTWV9vLVpaVno1VGpZb2hwdWNOQjEzYVB5cUszZWxJRGFUSUNwaVJDcWJhYmUzQ2h3TlFoejg?oc=5,2026-07-03 07:00:00,AI-generated anthems setting the tune in Johor campaigning. AI-generated anthems setting the tune in Johor campaigning&nbsp;&nbsp;The Straits Times,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-35b5f6faac9c9b42,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiYkFVX3lxTFBESHZObDRoUTJ2LVJJM0EzVEFjc2NMNVpHTVdZNUFKQWh1d1hqcF80QVF4SWlqcGs5dl9MNjJaS3lqdGYzUDI2RHd5U2NFbHlMd0tkV2g3MXVLZVg0V094NlV3?oc=5,2026-07-01 05:03:24,"Johor Polls: Perling BN Candidate Bets On ""Pocket Talks"" To Win Over Voters. Johor Polls: Perling BN Candidate Bets On ""Pocket Talks"" To Win Over Voters&nbsp;&nbsp;Bernama",,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Candidate Performance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-1edaab5022b133f4,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMivAFBVV95cUxQcHV6dUF0YTZYQ1BtUWczbnFlUWZyU3NST0lmRVR1eEpKaV9SUTNVQXE2dXFlaU5WaG5fYW9yMXlIOWxVanlIa3E0ZXZxaElkN3NnVC1rOXRiVkxkeEkxdzNYTWs1VkhQSnRJVGNZM0pvX1VkSTJqMV8tc0RQdnlMbHN4cnZjQ2JuNTAtZmFIcHZ5SFhhQkV6VGUzV3JWVHE1YTlhR045TGpxdlRoMzRwZEUySS1CczN5VzZVQdIBwgFBVV95cUxNWEc3SnpZenJYanVPYzhsQnFuX05McTRfenNyRmVwME5jY3hxQldYZTZUMXlabGREZzVpWktLd1RjQlRCNC1BV3ZDN29pUi1MdjBsX0QtakZDQ1I1NW5hVjRTc0RzYzdaSTJVQUtkZC1xbnh6X3hqTnZuSnp6T1hmNnk3YzhMWkhCUVFLd2NIN3RKTXFYYXQ2d3MxeUlfSjJIQWlkV01WdjBiT0NlU1FWTWpyR0xCLU9lRzJfS2tFTlZoUQ?oc=5,2026-07-07 01:02:39,Early voting for Johor election begins at 64 centres statewide. Early voting for Johor election begins at 64 centres statewide&nbsp;&nbsp;Malay Mail,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-268444e652dc91ac,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1veUFYZGhHYzVfdE4xei1jWXRJSEJFaXVGZmZpQWs0Y0ozUWQxN0wwQUppUFdGZWliUUZQSnJadnhrT09wbjhGT2VSTV9YTGxv?oc=5,2026-06-26 07:00:00,Johor polls: Roads near nomination centres to be closed in stages tomorrow. Johor polls: Roads near nomination centres to be closed in stages tomorrow&nbsp;&nbsp;The Edge Malaysia,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-7eb53a6e5251e06c,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMipwFBVV95cUxPdktEQ0lPaHRLTS11cVNNUGcxZno5b2xERF9BejY4UFdhbEM2blVCTVlMb0lMQnJoa296azBST0ZwM0QxLS1mX2FLNmxxV3dhWkRnaVZWZHdhWDZiN2swakZQUXp3NjNoU2ZFX0RUSGhPZ0lWYnE2UU85bld3VjI1cXVRMWEwV3BIXzVPYkp0TnhRUlZIOTdTUmc3WHdFbUJKWnFadEVnUQ?oc=5,2026-06-26 07:00:00,Bersama unveils 15 ‘ordinary’ candidates in Johor election debut. Bersama unveils 15 ‘ordinary’ candidates in Johor election debut&nbsp;&nbsp;Free Malaysia Today,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Candidate Performance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-17ec900be3efe78e,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNbkFjOXJwM3EzY3JiVlJBQkRFdDdkR1dIaG4wVGdwTnMyeDlEQk1CSFJ3VXJTVUc1dWF1TTdaazFRVUZTR2Y5am5VR0VGR0lRMnJEWlluVkI2a1FLNmhDUW1MTWN5TnpWNlFEZDJfWFF0YS14SkxzZmsyUXdUT1BJa3lrcFozUGJZSGZoZzhFQVd1SkN0V1FkQV9sNzhVRjZqM3pUTU9XcGs1aTVsdUU1eUdxdnJZZC1wcE9qMVFEYVNzZzhlRjRYRNIBzgFBVV95cUxQbzhCZUZTTDRNSEpUMHo0WDhKMUkzS0stZmV0VmU4b0tBSzBqcGx6MzBGMFpkZmdwakpnOVo4ZHNIbGR4Y00yaDRRUjlySkxJYVV3Z2txZ0xfZVBYQ3ltWG1IWkFFUkR3RXI2RWJRbV91NEVxdWYtQk9RYmk5VnIwanpKVGRpdWhRSXB6cWpFRy1qVWdCaXRtdjVaUWZudUhacnptSjlCTEg1eXRlc0NDejE1d1lCbjBQTTljeUp2NXRQS1Y0WkJ6OW5UbFBiUQ?oc=5,2026-07-11 00:40:57,All Johor polling stations open at 8am as state election gets under way. All Johor polling stations open at 8am as state election gets under way&nbsp;&nbsp;Malay Mail,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-f12b38abcf81309c,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMioAFBVV95cUxNUExnX0g1Tko2dlVSQy1FcnU4ektFNl92enFPRXM3YUxac3N2OGRSZWNtMjZXdnUxMFl5N3MteXJWYWFuZTF3c2xqc21vZGctQklJS0NWbDFOTXJmVUpTNVVjcldfMWxFc1ByRmRCOEdITFFDWDREZUQ0cVM5b1RfaUpVdFZraXBOemQ3dmp2dUZFN2h4TE9uaGEyeVhvMzFw0gGmAUFVX3lxTE5Fd2VBeGJHZ2hYRlhhSmpVY2EyWmEtcXR4TVB0TkduWFpqY3ZpdnlQLXBTbzd3bWdsMEtJeGZJTUh6Y1BiNnNLM0VKMDNRb1NZOFowbDFwa3hEX1Znc1V1VnFwYVdqV0x4Z1IyWmlUR0lEdXl1aUpDU2g2bDdzMU9rSWJqSGlaa1prLXVnZXF3aTJ5dmkyd0hMQmZzYW12eFE0d2hwcWc?oc=5,2026-07-11 14:15:59,[LIVE] Johor election results: BN wrests Perling from PH. [LIVE] Johor election results: BN wrests Perling from PH&nbsp;&nbsp;NST Online,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-c68a0c81f8795854,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMinwFBVV95cUxPTm5BSXhYby1yT3VaZ2pPUEJUYzVldTlUa3Qxb29pcnU4a0FhZzlPTk5DQzN0emx0RHhJMjhDTzVkWE9JMjBqSWNZOWcwM3JLZ2JzX2dCQkVKLXlzUm9xSmozMF9UMXRacnB1azF5UnZ4bFlWUnRWWjFnS2QzLWRZOUdPVmpzeHRJdlBSTkdkSFE4RVRnSU1IaFhmRWlCOWvSAaQBQVVfeXFMTVdKaEZDRjQzUm4zRWc5NGFHcTViNDVPdkU2MXdZQ3Y1aUltampQMTJ6cjg0X2dCVjZlaUZSaE1EN1lQWjlKQ0FhUUQtRVllaDBBd3dSVkItN3FkR0FqWlBCTWhoY1BPV1p0UWZiakwwY0t1UE5SekRGbTMyeWhpNGFsQ3dOcmVZNXRHNlZDc19DRXozQWtCRllvS1lyZXMtcFE3cGE?oc=5,2026-06-26 07:00:00,Johor election: Four-cornered fight looms for Skudai. Johor election: Four-cornered fight looms for Skudai&nbsp;&nbsp;NST Online,,en,Skudai,JHR-N49,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-6f32d281b6f9d31d,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMWhNNHhxUGdBcHlhS3E5QTZQNk1DTXRTeF94dE1kUXVhakpNVVRQVTVDbk1Hc1lHTWdnYWtJSnB1UG8yc1VieWhWOVpEN1JJcVBjT3EzdjM5dXo4ZW9VWVdqQjRfOXNzVG14aXpRdFdjSmxLOXZKdHUtWmN1alFwS203RHZycW11cXBBbnR2QkpOMndETnBMMUJrU1RvbXhOOVBUd1gzcTBwd9IBrwFBVV95cUxNVk14YzFMb2hPVk0xUnpBY2RlM2NxUW9GX1JuRVZpbTRIY2FaZ2tHUkVKT2FQY1YzdjF6VTRLYjgyRDJlUUpMcExtWmFVM2lFNkx0NVdLUDNSakRUbG1GNUY3MEpOSUQwSHJlc1A1STJCT2xySTRzNEIwUVZqTzJoZ1EtVFljQnhPRHR1dGlFdW5xdDhkTjNzRmY2d2MzNmE2REg2RmRialFyWWJPaFAw?oc=5,2026-07-11 09:40:47,"[LIVE] Johor election results - BN leads in 7 seats, PH leads in 4. [LIVE] Johor election results - BN leads in 7 seats, PH leads in 4&nbsp;&nbsp;NST Online",,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-f0261ce8a9c8a25e,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMipAFBVV95cUxPaEZfZWZnVlQzVUxxTjFQNTdsUE9fRTREbTR4LWFLVFZxbEF3U2V1aEJSY0w2bWtwMXFVZnk3cUFqbVdaSk1qdWd4TGhneGd5OC14SjB4QVhaRUZpWnBmdDdtVEd6bnlkQ1RxZGpPX05qdDl6SXVyQjdUT0VzaUFNUlNYcldiRTMyelR2YUxlUklqSEdLaVRpN1VTYnprdlFhUE9CWNIBqgFBVV95cUxQUXJyLVdDdF9DUDF0eGFNeTlCQ3BCUE5EcUlaYnNoR3VIYm5vTlNBNXVHNVZxeTB0eDMzY3ZwdnBfRGVGYlFMWDJzUll1SFMxeUxlSEZTUmItRlZfcGY5a1ZteDU5N2hvT2psdHVveDM4X3VBMnphb0hyVHdXWWd1XzhzR1c0T3VxYlRDTjFhbTNINDlFYjV1YS0tWUVpUW5TUUpxcEtnY3NTdw?oc=5,2026-07-11 10:58:34,[LIVE] Johor election results - PH overtakes BN in Perling. [LIVE] Johor election results - PH overtakes BN in Perling&nbsp;&nbsp;NST Online,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-032eb02b779d8f6d,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOVHRhelJzVFZFYVcxY2ZsdlRtajhDY0FuaHpZNEhlaGlMQ0t1ajJEbjJaOGxvVUw4dkZCX1dPVENhZTcwTm9CWnlDYTNiRmZrcGlod2pMRzhxRi1ESUUtY3FxMWp5U2NCYi1mUUdDWjRkWWdUOXAxOTZBSzZTblJlUmNnNXd6Y2lDWTdzaDJsb0ZGYU9QU3pQM3JMRTI2Vi1vM0tvOTQxTzlxZ9IBrwFBVV95cUxOS2c4a3UzX0gtUHhrelc4Q3dfS3BYc1hkV1h0YTJETWVEYkM4QkJ1YlgtRmJ3LU9LbnBCaG9jWm83cUJXSmR0clEyamJzTWdPQktqM0oyejlrbkZINlVaRjlrbWJEcFU2VjM0bWxiWnpGVk5iZVpfTjBHWkg1TFk2UTlaVEd2cF9JU1l0VldKWmkxdG94MTY3VTI2cW03NzA5ZDJQVzJrR1MzV0MtSExr?oc=5,2026-07-11 12:59:09,Bersama faces wipeout after poor debut election showing. Bersama faces wipeout after poor debut election showing&nbsp;&nbsp;NST Online,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-4096d9f1f49ccf20,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMixAFBVV95cUxOcTFRcFByQUdWeVNqV3YxamtwR1JJQ1NkclVaMHZmemNscTdHZnpjMEI0MGFkNE82NDQ5U1YxTWxhVHZPdHc5cTRraW82Xy1xUFdhZm5LV3VUd0NDRzQwajllUEpUX2ZqZGdTZGRjTWRjY21ZZUNMRWF1YUZNRG5PWEw0RUpxeUN2NG5oRTBKenV4d0NneTdnQ2JmQ0FxZTZrOVRvbDN5MmdnOEl1Wk1hT05EVXZ1dW13LUkxYkJmVXlGczEz?oc=5,2026-06-24 07:00:00,Johor polls: Adham Baba makes political comeback as BN's Pasir Raja pick. Johor polls: Adham Baba makes political comeback as BN's Pasir Raja pick&nbsp;&nbsp;Sinar Daily,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,PAS Factor,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-239690fc5106de03,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiVkFVX3lxTE0zQml6MTBabVY4dUhNbUl5NzVSdkstNndUWGxsUVc3SEVXYVBPdTZIb19tOFZzU2tzMGthYWtiMnAxMUh6TmRVVGtNMXR0dVJSUlhIZEN3?oc=5,2026-07-11 00:53:00,"Voting begins in Johor, with early turnout at polling centres. Voting begins in Johor, with early turnout at polling centres&nbsp;&nbsp;Sinar Daily",,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-8d65314c07b69366,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMivgFBVV95cUxPbDFOUnpmOVV2MUltVDlOUVNjLU85QW8zaDllQmRKODN4Zmg0SnY5c3NEbEV2UFI1bGZxdG1tQ0g3QXV4d2FwNzdqNHcwWUV2a25yclhJZVRFY19jZ3RaMlZqX3NRc01uSjBKU1hoMzlHMjcwcDVxblZwT2xlbUhmT1JDSlpZNTJheHB1UU1zc2VUU0ZNaWg1VHk2SGtpT3VPWm0xNlU3WGFfNWRSdW1tMVoyR2Nvb0Zud0lPR3FR0gHDAUFVX3lxTFB5cjFXalZocGQzWDJTZ0VhNkN0TkU3TWZPZ3JIaThuWXRqT1JkUzhoTG03M1FJaGpLOElZZjVxNmtleEI1dFpvaDJBcnZabGdLUTZidmxCbUVhLUFmSkJnUUo4UXMwZjM4V21jTWVjWkZQenNCQmZoZzY5NUdhbVQ5WmhBWnJkcGZhX1FxdnNTNDF2SnJQVEtGZXM1bkRpUWM0YktCeVpJdXlVOHhJcU1GZ3hLbGhOTEVRYmNYTS15ZnI3bw?oc=5,2026-07-01 07:00:00,"Johor election: Perling, Skudai PH candidates release manifestos early. Johor election: Perling, Skudai PH candidates release manifestos early&nbsp;&nbsp;NST Online",,ms,Skudai,JHR-N49,Johor Bahru,,,Candidate Performance,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-a1000be63069acf7,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9NWXc2RjNhVFM2RGI2YXAxMjFaWThuamIwV25xR19OWllyZ09YUHV6cDh5T1ZYZWlWNzdFN2lIRVdKaEI5ejdYeGRDaEJLWWlkVEczUWFDSGZJT0pSUFhfZzE3TQ?oc=5,2026-07-02 05:10:00,Johor Polls: PSM's Sole Candidate Champions Cost Of Living Agenda In Skudai. Johor Polls: PSM's Sole Candidate Champions Cost Of Living Agenda In Skudai&nbsp;&nbsp;Bernama,,en,Skudai,JHR-N49,Johor Bahru,,,Cost of Living,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-a573c6a060ce55fa,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPVkRZOE5VQzhGNEdSQXNucEJSb3QzOWxudnk0c21PX0ZvS2pKSk12MDBjaXN2ZnFvaEF3V1I3Q0NDRFZ6WGpFUUxtU3BGeGhDNThfMW12Ty1mdmc5ZlpBU2lwZHpnQWR3cHVEaW9aR2paMkJyZmZ2aE4zNU5UZnJhTmNvUVVUWFZtN2ZPLTg1NjNMX2tnTzFoWW4zeVZNbkdOWEF6ZFJFYnFmV0tvaXhCRHlFWEdYUDNTODQ0WXZYcTFwRkxxWTg1YVVnQXJrQndnT3MwejF3TdIB1wFBVV95cUxPVkRZOE5VQzhGNEdSQXNucEJSb3QzOWxudnk0c21PX0ZvS2pKSk12MDBjaXN2ZnFvaEF3V1I3Q0NDRFZ6WGpFUUxtU3BGeGhDNThfMW12Ty1mdmc5ZlpBU2lwZHpnQWR3cHVEaW9aR2paMkJyZmZ2aE4zNU5UZnJhTmNvUVVUWFZtN2ZPLTg1NjNMX2tnTzFoWW4zeVZNbkdOWEF6ZFJFYnFmV0tvaXhCRHlFWEdYUDNTODQ0WXZYcTFwRkxxWTg1YVVnQXJrQndnT3MwejF3TQ?oc=5,2026-07-11 02:54:17,EC chairman makes rounds of Johor polling centres as voting continues smoothly. EC chairman makes rounds of Johor polling centres as voting continues smoothly&nbsp;&nbsp;Malay Mail,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-5771f550d790c7b3,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiWkFVX3lxTE94ZFY4Zms5TS1iQk1vb3FucnhQbVZfY29fZXlFM0laaFFhOWFJWW5QQWlnN1JFcy1fVURZVmhRTmVVVm5QVEd5RjZuNl9aMS1Nb3p1RFZfMzlEZw?oc=5,2026-06-27 01:19:00,JOHOR POLLS: 56 NOMINATION CENTRES OPEN AT 9AM. JOHOR POLLS: 56 NOMINATION CENTRES OPEN AT 9AM&nbsp;&nbsp;Bernama,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-32db8ee808534752,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMirAFBVV95cUxOc2R2bkgzazQ4RVJRODVHUEFhX05QcmJ6M01kSWtwMHQ3YkhOOFduNmxhTUxUdnBraXhxSW1nTjRxVjZFZzN0WFBnd3ZQelJxZzg3RDdqemZTbkNaQlFXTnpyMXhtUVBwcTVrb3pyVmgybC0tLUx4WFdXX1NjN1RGUFFWcTFXUllFQnF3bGMtVk1vRTQwN1RaVVJHYTJZd2VfaE5kdm8tcHdmVzk0?oc=5,2026-07-07 09:14:00,Johor polls: Early voting concludes at all 62 centres. Johor polls: Early voting concludes at all 62 centres&nbsp;&nbsp;Sinar Daily,,ms,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
JHR-fb8ae45916fb919b,news,post,Media,Community Page,https://news.google.com/rss/articles/CBMiugFBVV95cUxQOE8wc1Q4cVJpS1Q4VGZYTVFabTV2NXNrXzJYb2trSENjLTNJejFBekNoclFHT21oX2lWOXdWSzBoS1l0emhmWFpMM2ViQmZUOHFuSlYwdDM0VHUyWjRJbk1jVXoyZERTSWpIbWdDY2xQa0pMNEFncF94MUNLOWZwTTNWLWR5NGxsVTdkLTkxNVZGR1BoYjBQWEJaSGJOY2VjY1JWLTZUbWNTanRLNkFyQkZscy1XTFdpZEE?oc=5,2026-07-10 07:23:43,Johor Election Weekend: Don’t Miss These 20 Food & Drink Deals For Voters. Johor Election Weekend: Don’t Miss These 20 Food & Drink Deals For Voters&nbsp;&nbsp;TRP | The Rakyat Post,,en,Johor Bahru,JHR-N48,Johor Bahru,,,Other,nan,0.0,neutral,0,0,0,0.0,0,,,,,False,False,False,Low,Johor,,S2B2,seat_bandar,Tinggi,,0.0
